trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
86,False,"{'a': 0.99, 'e': 0.8179999999999998}",30,0,-209.2907439593549,"{0: 20, 1: 2, 2: 2, 3: 2, 4: 4}",0
87,False,"{'a': 0.99, 'e': 0.8159999999999998}",20,0,-40.56820811906923,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
88,False,"{'a': 0.99, 'e': 0.8139999999999998}",30,0,-34.10602242516242,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 1}",0
89,False,"{'a': 0.99, 'e': 0.8119999999999998}",20,0,-16.65115128505822,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
90,False,"{'a': 0.99, 'e': 0.8099999999999998}",20,0,-167.8448652460624,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
91,False,"{'a': 0.99, 'e': 0.8079999999999998}",20,6,-33.67370520182398,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
92,False,"{'a': 0.99, 'e': 0.8059999999999998}",20,0,-23.966338316638897,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
93,False,"{'a': 0.99, 'e': 0.8039999999999998}",25,17,-37.309874230948,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
94,False,"{'a': 0.99, 'e': 0.8019999999999998}",20,0,-52.64200201073093,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
95,False,"{'a': 0.99, 'e': 0.7999999999999998}",25,0,-133.4118803004169,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
96,False,"{'a': 0.99, 'e': 0.7979999999999998}",25,18,4.701901945638564,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.99, 'e': 0.7959999999999998}",20,0,-83.58283195821778,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
98,False,"{'a': 0.99, 'e': 0.7939999999999998}",25,11,-28.17513862474316,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
99,False,"{'a': 0.99, 'e': 0.7919999999999998}",30,0,-138.2094912431273,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
100,False,"{'a': 0.99, 'e': 0.7899999999999998}",20,0,-29.17146347098131,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
101,False,"{'a': 0.99, 'e': 0.7879999999999998}",20,0,-47.299315205702825,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
102,False,"{'a': 0.99, 'e': 0.7859999999999998}",20,0,-124.00019125555558,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
103,False,"{'a': 0.99, 'e': 0.7839999999999998}",35,0,-49.60446910883658,"{0: 28, 1: 3, 2: 3, 3: 0, 4: 1}",0
104,False,"{'a': 0.99, 'e': 0.7819999999999998}",25,0,-127.85426747441886,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
105,False,"{'a': 0.99, 'e': 0.7799999999999998}",30,0,-174.42773420376605,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
106,False,"{'a': 0.99, 'e': 0.7779999999999998}",25,0,-48.601657727689556,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
107,False,"{'a': 0.99, 'e': 0.7759999999999998}",25,18,0.8468226974033222,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.99, 'e': 0.7739999999999998}",25,0,-98.14591788492271,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
109,False,"{'a': 0.99, 'e': 0.7719999999999998}",20,0,-74.90144745600936,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
110,False,"{'a': 0.99, 'e': 0.7699999999999998}",20,0,-112.22890797189831,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 3}",0
111,False,"{'a': 0.99, 'e': 0.7679999999999998}",30,18,-30.059133983248778,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
112,False,"{'a': 0.99, 'e': 0.7659999999999998}",30,0,-137.29775132667746,"{0: 17, 1: 1, 2: 10, 3: 1, 4: 1}",0
113,False,"{'a': 0.99, 'e': 0.7639999999999998}",35,0,-214.1406108959955,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 5}",0
